"Name","AMI","InstanceType","PrivateIP","SubnetId","AZ"
"aws_instance.muvservers[""server1""]","ami-03d1e139780958698","t3.medium","10.46.3.10","subnet-0ff0cefd8a488590f","us-east-2a"
"aws_instance.muvservers[""server2""]","ami-03d1e139780958698","t3.large","10.46.3.139","subnet-056a5a3a970b4a0da","us-east-2b"
